Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Gender_encoded,Category_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Shipping Type_encoded,Discount Applied_encoded,Promo Code Used_encoded,Payment Method_encoded,Frequency of Purchases_encoded
30,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,1,1,2,1,0,1,5,1,1,2,6
31,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,Credit Card,Monthly,1,0,0,1,3,1,4,1,1,2,4
32,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,1,1,0,3,3,1,5,1,1,5,4
33,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,1,3,1,19,2,1,2,1,1,5,0
34,54.0,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,1,1,0,8,2,1,5,1,1,1,5
35,36.0,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,1,1,0,22,1,1,0,1,1,4,5
36,54.0,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,1,1,1,5,2,1,0,1,1,2,1
37,35.0,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,1,1,1,12,3,1,2,1,1,4,3
38,35.0,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,1,1,2,5,2,1,5,1,1,4,6
39,29.0,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,1,1,1,18,3,1,0,1,1,5,2
40,70.0,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,1,1,2,21,2,1,1,1,1,2,4
41,69.0,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,1,0,0,0,3,1,3,1,1,3,5
42,67.0,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,1,0,1,14,1,1,4,1,1,5,0
43,20.0,Male,Coat,Outerwear,99.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,1,3,1,0,1,1,2,1,1,4,0
44,25.0,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,1,0,0,10,0,1,5,1,1,4,3
45,39.0,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,1,0,2,19,2,1,2,1,1,4,6
46,50.0,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,1,1,3,9,0,1,0,1,1,4,0
47,57.0,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,1,1,0,23,2,1,5,1,1,1,5
48,55.0,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,1,0,1,4,3,1,2,1,1,1,6
49,42.0,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,1,1,1,14,2,1,5,1,1,1,4
50,68.0,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,1,1,2,9,1,1,3,1,1,3,1
51,49.0,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,1,1,1,18,1,1,5,1,1,3,1
52,59.0,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly,1,1,3,7,3,1,0,1,1,2,5
53,42.0,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,1,1,1,8,2,1,2,1,1,2,6
54,29.0,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,1,1,2,15,3,1,3,1,1,2,6
55,47.0,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,1,3,1,3,2,1,3,1,1,3,1
56,40.0,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,1,3,1,10,3,1,0,1,1,2,0
57,41.0,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly,1,0,3,3,2,1,5,1,1,2,6
58,21.0,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,1,3,1,23,2,1,5,1,1,3,3
59,69.0,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,1,1,1,4,2,1,2,1,1,5,4
60,63.0,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,1,0,0,24,1,1,4,1,1,3,6
61,50.0,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,1,1,0,3,2,1,1,1,1,1,6
62,55.0,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,Credit Card,Every 3 Months,1,0,1,14,3,1,5,1,1,2,2
63,30.0,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,1,2,2,11,1,1,2,1,1,2,3
64,33.0,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly,1,0,0,10,3,1,0,1,1,2,6
65,65.0,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,1,2,2,8,0,1,4,1,1,3,3
66,65.0,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,1,0,1,17,1,1,0,1,1,5,2
67,31.0,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months,1,1,2,11,3,1,0,1,1,5,2
68,45.0,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly,1,3,0,7,3,1,5,1,1,3,4
69,57.0,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,1,0,0,19,2,1,3,1,1,1,2
70,48.0,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5.0,Cash,Weekly,1,0,2,5,2,1,1,1,1,1,6
71,22.0,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,1,0,1,11,0,1,1,1,1,3,2
72,36.0,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually,1,1,0,6,2,1,1,1,1,0,0
73,18.0,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,1,1,1,13,3,1,5,1,1,0,2
74,48.0,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly,1,1,1,20,1,1,2,1,1,0,1
75,49.0,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly,1,0,0,22,1,1,1,1,1,1,4
76,64.0,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,1,0,1,2,2,1,2,1,1,2,0
77,50.0,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32.0,Venmo,Monthly,1,0,2,20,2,1,2,1,1,5,4
78,22.0,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,1,1,0,6,2,1,3,1,1,3,3
79,50.0,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly,1,1,1,12,1,1,2,1,1,5,3
80,38.0,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,1,3,1,13,3,1,0,1,1,0,2
81,19.0,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months,1,2,3,2,2,1,5,1,1,2,2
82,67.0,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,1,2,0,12,2,1,1,1,1,2,2
83,19.0,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,1,1,2,13,1,1,0,1,1,2,2
84,36.0,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,1,1,1,21,2,1,4,1,1,0,6
85,52.0,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,1,3,2,15,1,1,4,1,1,0,2
86,53.0,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,1,0,1,4,3,1,3,1,1,3,1
87,24.0,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,1,1,0,16,1,1,0,1,1,1,1
88,52.0,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,1,2,1,8,0,1,0,1,1,3,3
89,33.0,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly,1,1,1,14,0,1,2,1,1,2,4
90,47.0,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,1,3,3,16,0,1,3,1,1,1,5
91,25.0,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,Credit Card,Monthly,1,0,0,22,2,1,1,1,1,2,4
92,44.0,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,1,0,2,8,3,1,4,1,1,2,2
93,61.0,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,1,3,1,13,3,1,0,1,1,5,2
94,37.0,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,1,1,1,17,0,1,4,1,1,2,6
95,58.0,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly,1,1,2,19,1,1,2,1,1,2,6
96,37.0,Male,Sneakers,Footwear,99.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48.0,PayPal,Monthly,1,2,0,16,0,1,2,1,1,4,4
97,32.0,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43.0,Venmo,Every 3 Months,1,0,2,6,1,1,1,1,1,5,2
98,21.0,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37.0,Cash,Annually,1,2,1,20,3,1,5,1,1,1,0
99,20.0,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually,1,1,3,20,1,1,3,1,1,0,0
100,26.0,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33.0,Debit Card,Quarterly,1,1,3,9,2,1,1,1,1,3,5
101,62.0,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31.0,Cash,Fortnightly,1,0,1,12,0,1,1,1,1,1,3
102,27.0,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly,1,3,3,23,1,1,1,1,1,2,1
103,51.0,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Quarterly,1,1,0,22,3,1,3,1,1,2,5
104,54.0,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly,1,2,0,18,3,1,3,1,1,5,1
105,55.0,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1.0,PayPal,Monthly,1,0,0,16,1,1,0,1,1,4,4
106,69.0,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually,1,0,1,4,0,1,3,1,1,0,0
107,64.0,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31.0,Credit Card,Monthly,1,3,0,23,2,1,4,1,1,2,4
108,28.0,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46.0,PayPal,Fortnightly,1,2,0,13,3,1,3,1,1,4,3
109,70.0,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly,1,1,0,17,1,1,3,1,1,0,1
110,58.0,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly,1,1,1,22,1,1,3,1,1,0,3
111,56.0,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26.0,Venmo,Fortnightly,1,0,1,1,2,1,4,1,1,5,3
112,26.0,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9.0,Credit Card,Annually,1,0,0,17,2,1,2,1,1,2,0
113,37.0,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly,1,0,1,18,1,1,2,1,1,4,1
114,44.0,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20.0,PayPal,Quarterly,1,0,0,12,3,1,3,1,1,4,5
115,70.0,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9.0,Cash,Weekly,1,3,2,2,2,1,5,1,1,1,6
116,53.0,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months,1,1,1,7,1,1,4,1,1,3,2
117,55.0,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12.0,Venmo,Annually,1,2,2,2,1,1,2,1,1,5,0
118,50.0,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29.0,Cash,Fortnightly,1,2,0,24,2,1,1,1,1,1,3
119,50.0,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly,1,1,0,14,0,1,0,1,1,1,1
120,38.0,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44.0,Cash,Annually,1,3,1,14,0,1,1,1,1,1,0
121,64.0,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32.0,Bank Transfer,Annually,1,0,0,18,2,1,1,1,1,0,0
122,19.0,Male,Shorts,Clothing,72.0,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11.0,Cash,Fortnightly,1,1,1,13,3,1,4,1,1,1,3
123,40.0,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly,1,0,0,3,1,1,0,1,1,1,3
124,57.0,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46.0,Cash,Weekly,1,1,0,3,0,1,2,1,1,1,6
125,44.0,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50.0,PayPal,Annually,1,1,1,7,1,1,3,1,1,4,0
126,49.0,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months,1,1,1,9,3,1,3,1,1,5,2
127,43.0,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months,1,1,0,16,1,1,5,1,1,1,2
128,24.0,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly,1,1,1,7,3,1,3,1,1,2,6
129,20.0,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21.0,Credit Card,Fortnightly,1,0,1,6,1,1,4,1,1,2,3
130,24.0,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly,1,1,3,13,2,1,0,1,1,4,1
131,44.0,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly,1,0,0,22,0,1,3,1,1,4,3
132,28.0,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,1,1,0,9,2,1,4,1,1,2,6
133,30.0,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly,1,0,1,14,0,1,0,1,1,4,6
134,52.0,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25.0,Venmo,Annually,1,1,1,22,3,1,3,1,1,5,0
135,43.0,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25.0,Cash,Monthly,1,0,0,7,0,1,5,1,1,1,4
136,43.0,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12.0,PayPal,Quarterly,1,2,1,17,0,1,1,1,1,4,5
137,39.0,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly,1,1,1,23,3,1,2,1,1,3,5
138,68.0,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38.0,PayPal,Weekly,1,2,1,21,1,1,2,1,1,4,6
